内容,视频标题,视频发布时间,时长,平均观看百分比 (%),感兴趣的观看次数,新观看者人数,回访观看者人数,观看次数,观看时长（小时）,订阅人数,估算收入 (USD),平均观看时长,展示次数,展示点击率 (%)
总计,,,,19.96,4715,1519,401,5413,461.449,117,16.509,0:05:52,47997,5.4
aqDW0UAgGAM,楊淇－五行經絡瑜伽，基礎課第一課（part1）：根基建立－腳板正位 ｜Sino Yoga Foundation Class 1 (part 1),"Jul 23, 2025",1591,24.71,612,229,208,612,66.8418,19,3.657,0:06:33,1713,19.15
tRyIK6PawTU,楊淇－五行經絡瑜伽，基礎課第六課：根基建立－脊柱肋正位！｜Sino Yoga Foundation Class 6,"Jul 27, 2025",2996,14.36,521,195,156,521,62.2623,11,1.909,0:07:10,1946,10.17
63Nk0DDDLNY,楊淇－五行經絡瑜伽，基礎課第一課（part2）：根基建立－腳板正位！｜Sino Yoga Foundation Class 1 (part 2),"Jul 23, 2025",3260,20.51,300,43,155,300,55.7307,5,1.004,0:11:08,1936,9.45
yWU6qZyBk-A,楊淇－五行經絡瑜伽，基礎課第四課：根基建立－肩肘腕正位！｜Sino Yoga Foundation Class 4,"Jul 25, 2025",4110,19.78,195,19,102,195,44.0269,0,0.74,0:13:32,2152,5.53
uondeS9nip0,楊淇－五行經絡瑜伽，基礎課第三課：根基建立－骨盆正位！｜Sino Yoga Foundation Class 3,"Jul 25, 2025",3389,21.56,166,14,83,166,33.6955,2,0.911,0:12:10,2061,5.92
1PN5DS7fjKs,楊淇－五行經絡瑜伽，基礎課第二課：根基建立－膝踝正位！｜Sino Yoga Foundation Class 2,"Jul 24, 2025",2381,25.68,194,12,94,194,32.9485,0,0.582,0:10:11,1948,6.26
Wma1gSh85Gg,楊淇－五行經絡瑜伽，基礎課第五課：根基建立－胸肋正位！｜Sino Yoga Foundation Class 5,"Jul 27, 2025",2810,22.08,119,3,84,119,20.5138,0,0.526,0:10:20,1770,3.5
n4Vtt8I14_o,讓你變美的冥想｜楊淇-五行經絡瑜伽,"Jan 17, 2026",1464,14.89,278,150,71,278,16.8377,4,1.093,0:03:38,3967,5.97
5hmhi3pgMeE,「氧氣悅汁+功法21天調理營 」Day1【功法】：補腎呼吸法A ＆ 排毒瑜伽式1。,"Sep 3, 2025",1804,31.01,71,8,36,71,11.0319,0,0.276,0:09:19,383,11.75
FiXm5HF_fxI,暖身序列喚醒身心·繁體 ｜楊淇-#五行經絡瑜伽,"Jan 31, 2026",1348,27.29,94,32,31,94,9.6055,2,0.349,0:06:07,1221,6.06
4gMjJ9tQb8M,「氧氣悅汁+功法21天調理營 」Day16：【功法】核心加强系列,"Jan 28, 2026",1441,19.11,118,42,41,118,9.025,1,0.448,0:04:35,1491,5.77
1Cx6I6jdlU8,五行經絡瑜伽2025首屆感恩年會 - 第一天早晨練習課程：站山，幻椅， 堅持住哦！,"Aug 5, 2025",4042,12.17,65,10,37,65,8.8821,0,,0:08:11,543,7.18
EhU5hJV-uis,五行經絡瑜伽2025首屆感恩年會 - 第一天早晨練習課程：坐山，OM唱誦，水呼吸。,"Aug 3, 2025",3708,16.51,45,8,21,45,7.6516,0,,0:10:12,328,6.71
W-aV1iiIFjs,讓你變美的肌肉｜楊淇-五行經絡瑜伽,"Jan 13, 2026",98,47.45,549,456,79,1099,7.3135,4,0.057,0:00:46,1940,2.73
9QsBBOwwSbA,「氧氣悅汁+功法21天調理營 」Day15：【功法】土脉瑜伽序列,"Jan 16, 2026",1184,27.96,71,11,40,71,6.5287,1,0.275,0:05:31,1150,4.43
PJjcTzrkf_M,「氧氣悅汁+功法21天調理營 」Day14：【功法】十大穴位自我按揉 (1),"Jan 9, 2026",1163,21.81,79,18,40,79,5.5667,0,0.259,0:04:13,1114,4.94
LTTeN4qFtrw,「氧氣悅汁+功法21天調理營 」Day2：【功法】补肾呼吸法B & 排毒瑜伽式2,"Sep 6, 2025",1345,51.41,28,0,18,28,5.3784,0,0.228,0:11:31,261,6.13
IGK9hf-CJTc,「氧氣悅汁+功法21天調理營 」Day5：【功法】女性排毒瑜伽 & OM释放唱诵,"Oct 3, 2025",1145,41.92,35,2,17,35,4.6669,0,0.264,0:08:00,297,6.4
NKLxo0_b00c,「氧氣悅汁+功法21天調理營 」Day3：【功法】补肾呼吸法C & 排毒瑜伽式3,"Sep 14, 2025",1587,29.45,29,1,19,29,3.7653,0,0.04,0:07:47,322,5.28
HT2U6Euq0m8,「氧氣悅汁+功法21天調理營 」Day6：【功法】美腿通下焦瑜伽序列 Leg & Lower Body Detox Yoga,"Oct 11, 2025",1165,36.91,28,1,14,28,3.3443,0,0.134,0:07:09,280,3.93
diwEe5aNojk,「五行悅汁」課程先導課：五行氧氣悅汁能為你帶來什麼？,"Aug 30, 2025",1124,30.54,35,10,16,35,3.3375,1,0.097,0:05:43,277,5.05
DQtZGSzk-IU,「氧氣悅汁+功法21天調理營 」Day14：【悦汁】土脉悦汁（2）胡萝卜 + 亚麻籽,"Jan 9, 2026",533,42.02,42,4,30,42,2.6128,0,0.508,0:03:43,1012,2.77
Vz3AWKlOuzo,Live streaming of 楊淇-五行經絡瑜伽,"Oct 8, 2025",11963,2.67,29,11,17,29,2.5754,1,,0:05:19,284,7.75
PYZ9xrF8g0E,「氧氣悅汁+功法21天調理營 」Day 1【悅汁】水脈悅汁（1）: 冬瓜＋蘋果＋腰果.,"Sep 3, 2025",740,35.36,30,4,15,30,2.1807,2,0.126,0:04:21,223,7.17
KA-hh22S0ZY,「氧氣悅汁+功法21天調理營 」Day15：【悦汁】土脉悦汁（3）嫩南瓜 + 芒果 + 奇亚籽,"Jan 16, 2026",449,24.02,69,21,35,69,2.0667,0,0.536,0:01:47,1280,3.13
dvA8My0j8Xo,「氧氣悅汁+功法21天調理營 」Day11：【功法】经络疗愈 & 舞动身心,"Dec 10, 2025",816,30.56,28,1,22,28,1.9396,1,0.085,0:04:09,330,4.85
lNTFrWd-HSY,「氧氣悅汁+功法21天調理營 」Day9：【功法】解压瑜伽 & 站立开肩,"Nov 13, 2025",1017,45.49,15,2,8,15,1.9277,0,0.073,0:07:42,286,2.1
GqyxxWkyGF4,氧氣悅汁+功法21天調理營 」Day12：【功法】开心呼吸 & 开心瑜伽,"Dec 30, 2025",1069,25.4,25,2,19,25,1.8857,0,0.121,0:04:31,377,3.98
QKINs8MRyng,「氧氣悅汁+功法21天調理營 」Day4：【功法】补肾呼吸法D & 排毒瑜伽式4,"Sep 25, 2025",1207,22.38,22,0,11,22,1.6507,0,0.103,0:04:30,251,5.18
FVwGkxXLrFs,「氧氣悅汁+功法21天調理營 」Day13：【功法】中焦脾胃呼吸,"Dec 31, 2025",1288,10.98,39,7,24,39,1.5316,0,0.053,0:02:21,640,4.53
1KoJVPdiaQY,「氧氣悅汁+功法21天調理營 」Day13：【悦汁】土脉悦汁（1）包心菜 + 香蕉 + 亚麻籽,"Dec 31, 2025",848,30.75,21,3,12,21,1.5211,0,0.199,0:04:20,528,2.65
MLiEiOLLwvE,放松有效练瑜伽 ｜楊淇-五行經絡瑜伽,"Jan 9, 2026",102,44.71,112,35,65,227,1.4608,0,0.006,0:00:45,1842,2.55
